food,Caloric Value,Protein,Fat,Carbohydrates,Fiber,Sugars,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Vitamin A,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B6,Vitamin B12,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Cholesterol,Saturated Fats,Water
Roti (Chapati),297,8.7,3.7,56.4,3.2,1.8,26,3.6,41,124,186,4,1.1,0,0.42,0.08,4.1,0.2,0,0,0,0.4,0.3,0,0.6,35
Paratha,260,7.3,12.8,32.5,2.8,1.5,28,2.9,35,115,165,320,1.0,45,0.38,0.07,3.2,0.18,0,0,0,0.3,0.2,0,3.2,38
Puri,371,6.8,22.5,36.7,1.8,1.2,18,2.1,28,98,142,380,0.9,0,0.28,0.05,2.4,0.15,0,0,0,0.2,0.1,0,4.5,25
Naan,310,9.2,4.8,56.8,2.1,3.2,52,3.2,26,108,112,540,0.8,12,0.35,0.12,3.8,0.12,0.08,0,0,0.2,0.1,8,1.2,32
Bhatura,315,7.5,18.2,31.4,1.5,2.1,22,2.4,24,92,128,420,0.7,18,0.25,0.06,2.1,0.14,0.05,0,0,0.2,0.1,5,3.8,28
Kulcha,295,8.8,8.5,45.2,2.0,2.8,48,2.8,28,102,135,480,0.8,15,0.32,0.1,3.2,0.15,0.06,0,0,0.2,0.1,6,2.1,34
Missi Roti,285,10.2,5.8,48.5,4.5,2.2,45,4.2,52,148,225,8,1.4,28,0.45,0.12,4.5,0.25,0,0,0,0.5,0.4,0,1.2,32
Makki Ki Roti,355,8.4,4.2,72.5,2.8,1.5,12,2.5,85,245,285,6,1.8,185,0.35,0.12,3.5,0.28,0,0,0,0.8,0.2,0,0.8,12
Bajra Roti,361,11.6,5.4,67.5,11.3,1.2,42,8.0,124,296,307,11,3.1,0,0.38,0.25,2.8,0.35,0,0,0,0.1,0.1,0,1.1,12
Jowar Roti,349,10.4,3.4,72.6,6.7,1.4,25,4.1,171,274,350,4,1.6,0,0.35,0.15,4.3,0.3,0,0,0,0.1,0.1,0,0.7,11
Plain Rice (Cooked),130,2.7,0.3,28.2,0.4,0.1,10,0.2,12,43,35,1,0.5,0,0.02,0.01,0.4,0.05,0,0,0,0,0,0,0.1,68
Jeera Rice,165,3.2,4.5,26.8,0.8,0.3,22,1.2,18,52,85,180,0.7,12,0.08,0.03,0.8,0.08,0,0.5,0,0.3,0.1,0,0.8,62
Vegetable Pulao,175,3.8,5.2,27.5,1.5,1.8,28,1.4,22,58,142,220,0.8,285,0.12,0.05,1.2,0.12,0,4.2,0,0.5,0.2,0,1.2,58
Biryani Rice (Veg),195,4.2,6.8,28.5,1.2,1.5,32,1.6,25,65,155,285,0.9,125,0.15,0.06,1.4,0.14,0,2.5,0,0.4,0.2,0,1.5,55
Lemon Rice,168,2.8,4.2,28.8,0.6,0.5,15,0.8,14,48,72,185,0.6,8,0.06,0.02,0.6,0.08,0,3.8,0,0.2,0.1,0,0.6,62
Curd Rice,145,4.5,4.8,20.5,0.4,3.2,125,0.5,18,95,185,85,0.8,32,0.05,0.15,0.3,0.08,0.35,0.8,0,0.1,0.1,12,2.8,68
Tamarind Rice,185,3.2,4.5,32.5,1.2,4.8,18,1.5,22,58,135,165,0.7,25,0.1,0.04,0.8,0.1,0,2.2,0,0.3,0.1,0,0.8,55
Khichdi,142,4.8,3.2,22.5,2.2,0.8,28,1.8,32,95,145,180,1.2,45,0.15,0.08,1.2,0.12,0,1.5,0,0.2,0.1,0,0.6,65
Dal Khichdi,165,6.5,4.5,24.2,3.5,1.2,35,2.4,42,125,195,195,1.5,52,0.18,0.1,1.5,0.15,0,2.2,0,0.3,0.2,0,0.8,62
Dal Tadka,128,7.5,4.8,14.5,4.2,1.8,45,2.8,38,145,285,320,1.4,185,0.22,0.12,1.8,0.18,0,1.2,0,0.5,0.3,0,0.8,72
Dal Fry,145,8.2,5.5,15.8,4.5,2.0,48,3.0,42,155,305,350,1.5,195,0.24,0.14,2.0,0.2,0,1.5,0,0.6,0.3,0,1.0,70
Dal Makhani,195,8.8,9.5,18.2,5.2,2.5,65,3.2,48,165,325,420,1.6,225,0.25,0.15,2.2,0.22,0.12,1.8,0,0.7,0.4,15,3.5,62
Chana Dal,145,9.5,2.8,22.5,5.8,2.2,52,3.5,55,185,345,8,2.2,28,0.28,0.12,2.1,0.25,0,1.2,0,0.4,0.3,0,0.5,68
Toor Dal (Arhar),135,8.2,1.5,24.5,4.2,1.8,45,2.5,42,165,295,6,1.8,22,0.22,0.1,1.8,0.18,0,0.8,0,0.3,0.2,0,0.3,70
Moong Dal,115,8.5,0.6,20.2,4.5,1.5,48,2.2,48,175,315,5,1.6,18,0.25,0.12,1.5,0.2,0,0.5,0,0.2,0.1,0,0.2,72
Masoor Dal,118,9.2,0.4,20.5,4.8,1.2,22,3.8,35,145,285,4,1.4,12,0.28,0.1,1.6,0.22,0,0.4,0,0.2,0.1,0,0.1,72
Urad Dal,125,8.8,0.8,21.5,4.2,1.5,55,3.2,52,165,305,8,2.0,15,0.3,0.14,1.8,0.24,0,0.6,0,0.3,0.2,0,0.2,70
Sambar,85,4.5,3.2,10.5,2.8,2.2,42,1.8,28,85,225,380,0.9,285,0.12,0.08,1.2,0.14,0,8.5,0,0.4,0.3,0,0.5,82
Rasam,35,1.2,1.5,4.8,0.8,1.5,18,0.8,12,32,125,420,0.4,145,0.05,0.03,0.5,0.08,0,12.5,0,0.2,0.1,0,0.2,92
Chole (Chana Masala),185,9.5,6.8,22.5,6.5,3.2,65,4.2,52,175,385,480,2.4,185,0.28,0.14,2.2,0.28,0,4.5,0,0.6,0.4,0,1.2,62
Rajma Masala,155,8.2,4.5,21.5,6.8,2.8,58,3.5,48,165,425,420,1.8,165,0.24,0.12,1.8,0.22,0,3.2,0,0.5,0.3,0,0.8,68
Kadhi,125,4.5,6.8,12.5,1.2,3.5,95,1.2,22,85,145,320,0.6,28,0.08,0.12,0.6,0.1,0.15,0.8,0,0.2,0.1,8,2.5,75
Aloo Gobi,95,2.8,4.2,12.5,2.5,2.2,28,0.8,18,42,285,180,0.5,125,0.1,0.06,1.2,0.18,0,32.5,0,0.3,0.2,0,0.6,82
Aloo Matar,115,3.5,4.5,15.2,3.2,3.5,25,1.2,22,65,325,220,0.7,285,0.15,0.08,1.5,0.15,0,12.5,0,0.4,0.2,0,0.7,78
Aloo Palak,105,3.8,4.8,12.8,2.8,1.8,85,2.5,42,58,425,285,0.8,4250,0.12,0.15,1.2,0.18,0,15.2,0,1.2,0.8,0,0.8,80
Palak Paneer,185,9.5,12.5,8.5,2.2,2.5,285,3.2,58,195,385,420,1.4,4850,0.15,0.28,1.5,0.2,0.25,12.5,0,1.5,0.9,25,5.8,68
Shahi Paneer,245,10.2,18.5,9.8,1.5,4.2,295,2.8,52,205,325,385,1.5,425,0.12,0.32,1.2,0.18,0.28,2.8,0,1.2,0.8,35,8.5,58
Paneer Butter Masala,275,11.5,20.5,10.5,1.8,5.5,305,2.5,48,215,295,520,1.6,485,0.1,0.35,1.0,0.15,0.32,3.5,0,1.0,0.7,42,9.8,52
Matar Paneer,195,10.8,12.8,10.2,2.8,3.8,275,2.2,45,195,345,380,1.4,385,0.18,0.28,1.4,0.18,0.22,8.5,0,0.8,0.6,28,5.5,62
Kadai Paneer,225,11.2,16.5,8.8,2.2,3.2,285,2.5,48,205,315,420,1.5,525,0.15,0.3,1.2,0.2,0.25,15.5,0,1.2,0.7,32,7.2,58
Paneer Tikka,265,14.5,18.5,7.5,1.5,2.8,325,2.2,42,225,285,480,1.8,385,0.12,0.35,1.0,0.18,0.28,8.5,0,0.8,0.5,38,8.5,52
Malai Kofta,285,8.5,22.5,14.5,2.0,6.5,185,2.0,35,145,225,385,1.2,325,0.1,0.22,0.8,0.12,0.18,2.5,0,0.6,0.4,28,10.5,48
Bhindi Masala,85,2.5,5.2,8.5,3.2,1.8,82,0.8,52,62,285,165,0.6,285,0.08,0.08,0.8,0.18,0,18.5,0,0.4,0.3,0,0.8,85
Baingan Bharta,95,2.2,5.5,10.5,3.5,3.2,18,0.5,15,32,215,285,0.4,125,0.08,0.05,0.8,0.12,0,4.5,0,0.3,0.2,0,0.8,82
Aloo Bhujia,125,2.5,6.5,15.2,2.2,1.2,15,0.8,22,48,325,185,0.5,8,0.12,0.04,1.2,0.2,0,8.5,0,0.2,0.1,0,1.2,75
Jeera Aloo,135,2.2,6.8,16.5,2.0,1.5,18,0.9,25,52,345,165,0.5,12,0.14,0.04,1.4,0.22,0,10.5,0,0.3,0.1,0,1.0,72
Dum Aloo,165,3.5,9.5,17.2,2.5,2.8,28,1.2,28,58,365,320,0.6,185,0.15,0.06,1.5,0.24,0,8.2,0,0.4,0.2,0,2.2,68
Mixed Vegetable Curry,95,2.8,4.5,11.5,2.8,3.2,35,1.2,25,48,285,285,0.7,485,0.12,0.08,1.2,0.15,0,12.5,0,0.5,0.3,0,0.8,80
Navratan Korma,185,5.5,12.5,14.5,2.5,5.5,85,1.8,35,95,245,320,1.0,385,0.15,0.15,1.2,0.15,0.12,6.5,0,0.8,0.4,18,4.5,62
Vegetable Jalfrezi,85,2.5,4.2,10.2,2.5,3.5,32,1.0,22,42,265,265,0.6,425,0.1,0.08,1.0,0.15,0,22.5,0,0.5,0.3,0,0.6,82
Idli,58,2.0,0.2,12.8,0.6,0.3,8,0.5,12,35,42,125,0.4,0,0.05,0.02,0.4,0.05,0,0,0,0,0,0,0.1,72
Dosa,168,3.8,5.5,26.5,1.2,0.8,15,1.2,25,65,125,320,0.6,0,0.12,0.05,0.8,0.1,0,0,0,0.2,0.1,0,1.2,52
Masala Dosa,225,5.2,9.5,30.5,2.5,1.2,22,1.5,32,85,285,420,0.8,8,0.18,0.06,1.2,0.18,0,5.5,0,0.3,0.2,0,2.2,48
Uttapam,185,4.5,6.8,27.5,1.8,1.5,25,1.4,28,75,185,385,0.7,125,0.15,0.06,1.0,0.12,0,4.5,0,0.3,0.2,0,1.5,52
Medu Vada,285,8.5,15.5,28.5,3.2,1.2,45,2.5,48,125,285,420,1.4,15,0.25,0.1,1.5,0.2,0,0.5,0,0.3,0.2,0,2.8,35
Upma,135,3.5,4.5,21.5,1.5,0.8,15,1.2,22,55,85,385,0.6,25,0.12,0.05,1.2,0.1,0,0.5,0,0.2,0.1,0,0.8,62
Poha,185,3.2,5.8,30.5,1.2,2.5,12,2.5,18,48,125,285,0.8,18,0.15,0.04,1.5,0.12,0,0.8,0,0.2,0.1,0,1.0,52
Pongal,145,4.2,5.5,20.5,1.5,0.5,22,1.5,28,72,125,280,0.8,35,0.12,0.06,1.0,0.1,0,0.2,0,0.2,0.1,0,1.2,62
Rava Idli,95,2.8,2.5,16.5,0.8,0.5,12,0.8,15,42,48,185,0.5,12,0.08,0.04,0.6,0.06,0,0,0,0.1,0,0,0.5,68
Sabudana Khichdi,175,1.5,5.5,30.5,0.5,0.8,15,0.5,8,18,185,165,0.3,8,0.02,0.01,0.2,0.05,0,2.5,0,0.1,0,0,1.0,55
Aloo Paratha,245,5.5,10.5,32.5,2.5,1.5,28,2.2,32,95,285,380,0.9,15,0.28,0.06,2.5,0.2,0,5.5,0,0.3,0.2,0,2.5,42
Gobi Paratha,225,5.8,9.5,30.5,3.0,1.8,35,2.0,28,88,265,365,0.8,45,0.25,0.06,2.2,0.18,0,25.5,0,0.3,0.2,0,2.2,45
Paneer Paratha,285,9.5,14.5,28.5,2.2,2.0,145,2.5,35,155,245,420,1.2,55,0.3,0.18,2.5,0.18,0.12,1.5,0,0.4,0.3,18,5.5,38
Methi Paratha,235,6.2,9.8,31.5,3.5,1.5,85,3.5,42,105,325,350,1.1,485,0.32,0.12,2.8,0.25,0,3.5,0,0.5,0.4,0,2.0,42
Mooli Paratha,215,5.2,8.5,30.5,3.2,2.2,32,1.8,25,78,285,320,0.7,12,0.22,0.05,2.0,0.15,0,15.5,0,0.2,0.2,0,1.8,48
Thepla,285,8.5,10.5,40.5,4.2,2.5,55,3.8,48,125,285,420,1.4,285,0.35,0.12,3.2,0.28,0,2.5,0,0.5,0.4,0,2.2,32
Dhokla,155,5.5,4.5,24.5,1.5,3.5,35,1.5,25,75,145,520,0.8,15,0.15,0.08,1.2,0.12,0,0.5,0,0.2,0.1,0,0.8,58
Khandvi,145,6.2,5.8,18.5,1.2,2.8,45,1.2,22,85,125,380,0.7,25,0.12,0.1,0.8,0.1,0,0.2,0,0.2,0.1,0,1.2,60
Pav Bhaji,225,5.5,10.5,28.5,3.5,4.5,55,2.2,35,85,385,580,0.9,485,0.18,0.1,2.2,0.22,0,18.5,0,0.6,0.4,12,3.5,55
Vada Pav,295,6.5,14.5,35.5,2.8,2.2,35,2.0,32,85,325,620,0.8,18,0.2,0.08,2.0,0.18,0,2.5,0,0.3,0.2,0,3.2,42
Misal Pav,285,10.5,12.5,32.5,5.5,3.5,65,3.8,48,145,425,580,1.5,185,0.28,0.12,2.5,0.25,0,4.5,0,0.5,0.4,0,2.5,45
Pani Puri (6 pcs),185,4.2,6.5,28.5,2.2,4.5,25,1.5,18,55,225,580,0.6,85,0.12,0.05,1.2,0.12,0,8.5,0,0.2,0.1,0,1.2,55
Bhel Puri,175,4.5,5.5,28.5,2.5,3.8,22,1.8,22,58,185,420,0.7,65,0.15,0.05,1.5,0.14,0,5.5,0,0.3,0.2,0,1.0,48
Sev Puri,195,4.2,8.5,26.5,2.2,3.5,25,1.5,20,52,175,520,0.6,55,0.12,0.04,1.2,0.12,0,4.5,0,0.2,0.1,0,1.5,45
Dahi Puri,165,5.5,6.5,22.5,1.8,5.5,85,1.2,18,72,165,380,0.6,45,0.1,0.12,0.8,0.1,0.12,3.5,0,0.15,0.1,8,2.2,52
Papdi Chaat,185,5.2,7.5,25.5,2.0,4.8,78,1.4,20,68,185,450,0.7,55,0.12,0.1,1.0,0.12,0.1,4.2,0,0.2,0.1,6,2.0,48
Aloo Tikki,185,3.5,8.5,24.5,2.5,1.5,22,1.2,25,52,325,320,0.6,12,0.15,0.04,1.5,0.2,0,6.5,0,0.2,0.1,0,1.5,55
